IA_p,IB_p,IC_p,IA_m,IB_m,IC_m,Rs_A,Rs_B,Rs_C,Ls,state
0.4258,0.9353,0.6541,-0.6485,-0.9788,-0.7522,3.1374,1.8216,3.2111,0.015,2
0.3867,0.3493,0.4002,-0.8828,-0.5296,-0.6154,3.6025,3.5767,3.6158,0.0182,0
0.8359,0.3884,0.6346,-1,-0.6663,-0.6545,1.9366,3.2173,3.269,0.0151,1
0.4453,1.0329,0.6346,-0.6875,-0.9593,-0.5373,3.1618,1.8212,3.2012,0.0117,2
0.3867,0.8962,0.6346,-0.7656,-0.9007,-0.7717,3.1498,2.0943,3.2194,0.0143,2
0.8359,0.5642,0.5369,-0.9414,-0.471,-0.6545,2.0976,3.2821,3.3539,0.0162,1
0.3672,1.0329,0.615,-0.6875,-0.8616,-0.5959,3.1329,1.8949,3.1906,0.0143,2
0.582,0.6032,0.9471,-0.7266,-0.471,-0.9865,3.1474,3.1641,2.0441,0.0128,3
0.3476,0.6228,0.8689,-0.5703,-0.7054,-0.8498,3.5033,3.4938,2.2869,0.0135,3
0.4648,0.9743,0.5369,-0.6094,-0.9593,-0.6936,3.1034,1.7777,3.154,0.0114,2
1.2054,0.5973,1.0851,-0.6306,-0.7309,-0.8095,0,0,0,0,6
1.1468,0.8316,1.2999,-0.7282,-0.7113,-0.829,0,0,0,0,6
0.8733,1.1246,1.1632,-0.6892,-0.8285,-0.8485,0,0,0,0,5
0.875,0.5056,0.615,-1,-0.5491,-0.635,2.087,3.2619,3.2893,0.0148,1
0.5039,0.8571,0.5955,-0.668,-0.8225,-0.5764,3.3392,2.1993,3.4285,0.0148,2
0.4648,0.3103,0.7908,-0.6875,-0.5296,-0.9084,3.1972,3.2246,2.0745,0.014,3
0.5234,0.8571,0.5955,-0.7461,-0.8616,-0.5178,3.3813,2.1926,3.4538,0.0141,2
0.4062,0.6032,0.4783,-0.6289,-0.5491,-0.4787,3.6307,3.6478,3.7379,0.0182,0
0.4844,0.5446,0.908,-0.6094,-0.5882,-0.8694,3.1996,3.1975,2.0688,0.0125,3
0.8945,0.6228,0.4392,-0.8438,-0.764,-0.4787,2.2365,3.3953,3.4767,0.0155,1
0.8359,0.5642,0.5955,-1,-0.6663,-0.6154,1.8454,3.1892,3.2225,0.0133,1
