IA_p,IB_p,IC_p,IA_m,IB_m,IC_m,Rs_A,Rs_B,Rs_C,Ls,state
0.3867,0.8767,0.615,-0.6289,-0.8421,-0.6545,3.2617,2.2562,3.3233,0.0133,2
0.4648,0.3493,0.9275,-0.6485,-0.6468,-0.8694,3.4344,3.4346,2.2307,0.0129,3
0.4844,0.5837,0.9666,-0.6875,-0.4905,-1.0061,3.0933,3.1028,2.0428,0.0138,3
0.289,0.9548,0.615,-0.707,-1.0569,-0.7522,3.1423,1.8899,3.2025,0.0139,2
0.3672,0.5642,0.4783,-0.707,-0.471,-0.5373,3.6467,3.6455,3.6936,0.0185,0
0.4258,0.4275,0.4588,-0.5508,-0.4515,-0.635,3.6342,3.6296,3.6862,0.0183,0
0.5234,0.8767,0.4588,-0.668,-1.0569,-0.6154,3.1399,1.8917,3.2469,0.0135,2
0.8164,0.6423,0.3611,-0.9805,-0.5296,-0.635,2.0788,3.3007,3.3418,0.0128,1
0.5039,0.9743,0.615,-0.7461,-0.9593,-0.674,3.2328,2.0621,3.2886,0.0149,2
0.289,0.4079,0.4978,-0.5313,-0.4515,-0.5569,3.5954,3.576,3.6069,0.0184,0
0.4844,0.4275,0.908,-0.668,-0.5296,-0.8889,3.131,3.154,2.0661,0.0137,3
0.4453,0.8376,0.4588,-0.6289,-0.9397,-0.6154,3.3551,2.194,3.4357,0.0154,2
0.8359,0.4665,0.5564,-0.9805,-0.764,-0.5569,2.209,3.3655,3.4211,0.0138,1
0.4062,0.8571,0.6541,-0.8633,-0.9983,-0.6545,3.2282,2.0374,3.298,0.0137,2
0.8164,0.5056,0.5955,-0.8438,-0.5882,-0.6936,2.2996,3.3363,3.37,0.0166,1
0.3867,0.3689,0.4978,-0.6485,-0.5296,-0.5764,3.6023,3.6231,3.6584,0.0185,0
0.4844,0.6228,0.8103,-0.6875,-0.5491,-0.9084,3.0774,3.1042,1.8183,0.0144,3
0.7969,0.5446,0.6346,-0.8438,-0.5686,-0.7522,2.2267,3.3886,3.4395,0.0138,1
0.8945,0.4275,0.5174,-0.8047,-0.5686,-0.5569,2.3226,3.376,3.3875,0.0148,1
0.2305,0.447,0.5174,-0.5899,-0.51,-0.4397,3.5939,3.6147,3.639,0.0186,0
0.4648,0.8767,0.615,-0.7656,-0.9202,-0.635,3.1599,1.9031,3.2132,0.0125,2
0.5234,0.779,0.5369,-0.6875,-0.7835,-0.5373,3.2222,2.042,3.2831,0.0132,2
0.3086,0.5251,0.7322,-0.6485,-0.471,-1.1037,3.1087,3.1228,1.8278,0.014,3
0.289,0.5251,0.5369,-0.707,-0.5296,-0.5373,3.6155,3.6355,3.709,0.019,0
0.25,0.2712,0.4978,-0.6485,-0.6077,-0.5178,3.6335,3.6251,3.6565,0.0183,0
1.1077,1.1637,0.7921,-0.611,-0.9066,-0.8876,0,0,0,0,4
0.8164,0.5056,0.5369,-1.0781,-0.7054,-0.635,2.2172,3.3938,3.4209,0.0149,1
0.8555,0.447,0.576,-0.8828,-0.5882,-0.6545,2.3193,3.3677,3.4121,0.0167,1
0.5234,0.9548,0.4588,-0.7461,-0.9788,-0.7326,3.082,1.788,3.1142,0.012,2
0.6015,0.5837,0.8494,-0.4727,-0.6858,-0.9084,3.1436,3.1696,2.0575,0.0121,3
0.9531,0.6423,0.6541,-0.9024,-0.6663,-0.5764,2.0805,3.2465,3.2889,0.016,1
0.7366,0.9488,1.0851,-0.6892,-0.6527,-0.8095,0,0,0,0,5
0.543,0.5056,0.3221,-0.6094,-0.4905,-0.4397,3.6178,3.6301,3.7309,0.0182,0
0.4258,0.3103,0.4002,-0.6289,-0.5686,-0.5959,3.6025,3.6072,3.7025,0.0182,0
1.264,0.8316,1.2413,-0.7282,-0.9262,-0.829,0,0,0,0,6
0.4453,0.4275,0.9471,-0.6289,-0.5491,-0.9865,3.0979,3.1019,1.8205,0.0143,3
0.5039,0.5446,1.0252,-0.6875,-0.5882,-0.9475,3.0691,3.0946,1.883,0.0121,3
0.6015,0.4079,0.4978,-1.0391,-0.6272,-0.6545,2.2411,3.4461,3.5103,0.0144,1
0.5039,0.6423,0.9666,-0.6875,-0.6468,-0.9084,3.1328,3.1286,1.9163,0.0134,3
0.4062,0.8767,0.5174,-0.707,-0.9983,-0.5959,3.2114,2.0428,3.2724,0.0135,2
1.1272,0.7535,1.0851,-0.7282,-0.7504,-0.868,0,0,0,0,6
0.543,0.9353,0.5955,-0.6094,-0.9788,-0.6936,3.1293,1.8928,3.1879,0.0133,2
0.4844,0.3493,0.7713,-0.6485,-0.5686,-0.9865,3.1219,3.1334,2.052,0.0127,3
0.5625,0.779,0.7127,-0.707,-0.9007,-0.7131,3.1699,1.8993,3.2201,0.0121,2
0.4453,0.8767,0.4588,-0.5899,-0.9593,-0.5959,3.2001,2.1134,3.2545,0.013,2
0.5039,0.6423,0.4783,-0.7656,-0.9397,-0.7131,3.2175,2.051,3.2618,0.012,2
1.1272,0.7535,1.0851,-0.7087,-0.6918,-0.8485,0,0,0,0,6
0.5625,0.8376,0.615,-0.668,-0.9983,-0.7131,3.3462,2.1969,3.4229,0.015,2
0.8945,0.486,0.576,-0.9414,-0.5491,-0.7326,1.927,3.1996,3.269,0.0151,1
0.4453,0.5642,0.9666,-0.5899,-0.51,-0.8889,3.117,3.1259,1.9145,0.0132,3
0.3281,0.4275,0.3221,-0.6289,-0.4905,-0.4592,3.6185,3.6162,3.6315,0.0181,0
0.9531,0.7009,0.6541,-1,-0.5882,-0.5764,1.8432,3.1982,3.2298,0.013,1
0.4453,0.4275,0.9471,-0.668,-0.6858,-1.0842,3.104,3.0971,2.0634,0.0152,3
0.4648,0.7204,0.6541,-0.7852,-0.8421,-0.635,3.2243,2.0573,3.3044,0.0137,2
0.3672,0.447,0.5369,-0.5899,-0.7249,-0.4787,3.5838,3.5753,3.645,0.0181,0
0.7578,0.6423,0.6736,-0.8438,-0.6077,-0.6936,2.2552,3.4563,3.5206,0.0135,1
0.5234,0.8376,0.6541,-0.6485,-0.9202,-0.5959,3.2072,2.0543,3.2698,0.0137,2
0.4844,0.447,0.908,-0.6485,-0.3929,-0.967,3.4506,3.4794,2.2464,0.014,3
0.8359,0.6032,0.615,-1.0195,-0.5686,-0.5569,2.1856,3.3615,3.3946,0.0147,1
0.7969,0.5837,0.6346,-0.9024,-0.5491,-0.674,2.2521,3.43,3.4744,0.0152,1
1.1077,0.5973,1.1632,-0.6501,-0.6723,-0.9657,0,0,0,0,6
0.8538,1.1441,1.2413,-0.6501,-0.7309,-0.8485,0,0,0,0,5
0.8945,0.5837,0.5564,-0.9805,-0.5882,-0.7326,2.0774,3.24,3.3115,0.0158,1
0.5039,0.9548,0.3806,-0.7852,-1.0765,-0.7522,3.1594,1.8242,3.2086,0.0137,2
0.3086,0.4665,0.4002,-0.6289,-0.4515,-0.4201,3.6208,3.6382,3.6813,0.0181,0
0.4258,0.8767,0.6931,-0.7461,-0.9202,-0.5569,3.3136,2.1501,3.3718,0.0122,2
0.7757,1.0269,1.2609,-0.5915,-0.5941,-0.9462,0,0,0,0,5
0.7187,0.6423,0.4783,-0.8047,-0.5686,-0.6936,2.3264,3.3664,3.4178,0.0158,1
0.582,0.8376,0.576,-0.6485,-1.135,-0.4787,3.176,1.8988,3.2043,0.0124,2
0.4062,0.8962,0.6346,-0.6485,-0.9788,-0.6545,3.169,1.8296,3.1998,0.0143,2
0.4844,0.6228,0.8494,-0.8633,-0.4905,-0.8889,3.0797,3.1135,1.8264,0.0151,3
0.4062,0.4275,0.7908,-0.6094,-0.5296,-0.8694,3.2354,3.2456,2.2515,0.0147,3
0.4648,0.3103,0.4197,-0.6875,-0.4905,-0.4397,3.5792,3.5825,3.6187,0.0181,0
0.8945,0.4665,0.4002,-0.9805,-0.6858,-0.4592,2.3321,3.3495,3.3929,0.0147,1
0.5039,0.6228,0.8494,-0.6289,-0.51,-1.0451,3.071,3.0759,2.0249,0.0121,3
0.4844,0.6618,0.908,-0.6289,-0.5686,-1.0647,3.0922,3.0991,1.9031,0.0116,3
0.5234,0.4665,0.908,-0.6485,-0.51,-1.0061,3.1757,3.1696,2.1939,0.0152,3
0.5039,0.74,0.6541,-0.6875,-0.8421,-0.6936,3.1837,2.0949,3.2509,0.0143,2
0.8538,1.0465,1.0851,-0.6892,-0.6723,-0.6532,0,0,0,0,5
0.7578,0.4665,0.5564,-0.7852,-0.471,-0.7131,2.2848,3.3039,3.3432,0.0155,1
0.4453,0.5837,0.9275,-0.5313,-0.4515,-1.0256,3.4971,3.4979,2.2767,0.0122,3
0.875,0.5446,0.6736,-0.9414,-0.6858,-0.5569,2.2935,3.3051,3.3619,0.0147,1
0.4844,0.6228,0.7322,-0.5899,-0.5296,-0.8108,3.4517,3.4717,2.2581,0.0142,3
0.5039,0.779,0.6541,-0.8438,-0.9007,-0.7131,3.1648,1.8994,3.2497,0.0141,2
0.7969,0.5837,0.6346,-0.8828,-0.6858,-0.5959,2.2394,3.4386,3.4819,0.0159,1
0.5625,0.5837,0.9471,-0.6289,-0.5882,-0.8108,3.1776,3.2048,2.2284,0.0157,3
0.8164,0.4665,0.6541,-0.9024,-0.6272,-0.7131,2.0917,3.2459,3.2997,0.0138,1
0.8343,1.0855,1.1437,-0.8259,-0.7504,-0.9657,0,0,0,0,5
0.875,0.5056,0.5564,-1,-0.5882,-0.6936,1.938,3.2371,3.277,0.0155,1
0.5039,0.6228,0.9471,-0.7461,-0.6077,-1.0451,3.0571,3.0732,2.0436,0.0125,3
0.543,0.5056,1.0056,-0.668,-0.5686,-0.9475,3.1245,3.1201,1.8347,0.0136,3
0.4453,0.9743,0.5955,-0.6875,-1.0374,-0.5959,3.1364,1.8827,3.1973,0.0124,2
0.914,0.6228,0.6541,-0.9805,-0.8616,-0.7717,1.8375,3.2105,3.2157,0.0124,1
0.4258,0.8962,0.5174,-0.8633,-0.9007,-0.5959,3.1888,2.0548,3.2674,0.0145,2
0.8359,0.6032,0.5955,-0.8828,-0.6858,-0.7717,2.2537,3.4495,3.5157,0.0138,1
0.4648,0.8767,0.6346,-0.8047,-0.9007,-0.5959,3.1939,2.1,3.2709,0.0136,2
0.5039,0.4079,0.8885,-0.6875,-0.6468,-0.8108,3.2446,3.2763,2.2582,0.015,3
0.582,0.6032,1.0252,-0.6875,-0.5882,-1.0451,3.1274,3.137,1.9287,0.012,3
0.3476,0.5056,0.4392,-0.6289,-0.5882,-0.4592,3.5648,3.5697,3.5899,0.0188,0
0,0,0,0,0,0,0,0,0,0,2
0.5039,0.6228,0.8299,-0.6875,-0.471,-0.9279,3.1086,3.1159,2.0337,0.0126,3
0.4062,0.6032,0.9471,-0.8047,-0.471,-0.9865,3.0979,3.1181,1.8851,0.0113,3
0.5234,0.5642,1.0056,-0.5703,-0.6077,-1.0061,3.0288,3.0449,1.8552,0.014,3
0.8164,0.6423,0.5369,-0.8633,-0.5491,-0.6154,2.0768,3.2442,3.2873,0.0137,1
0.8164,0.5446,0.5564,-0.9414,-0.5491,-0.5373,2.2085,3.3767,3.4349,0.0143,1
0.4844,0.6618,0.908,-0.6485,-0.4515,-1.1037,3.1282,3.1422,1.9068,0.0126,3
0.8359,0.6618,0.6541,-1.0195,-0.6858,-0.6154,2.0773,3.2292,3.2976,0.016,1
0.875,0.6228,0.5564,-0.9414,-0.5882,-0.7131,2.1045,3.2982,3.3488,0.0133,1
0.5039,0.8962,0.4783,-0.7266,-0.8811,-0.674,3.2031,2.0538,3.3181,0.0148,2
0.543,0.447,0.908,-0.707,-0.5686,-0.9084,3.4312,3.4468,2.2475,0.0148,3
0.4648,0.8962,0.5955,-0.5899,-0.9202,-0.7717,3.1357,1.8139,3.171,0.0145,2
0.8164,0.486,0.5955,-1.0391,-0.471,-0.674,2.2181,3.3984,3.4425,0.0157,1
0.8359,0.779,0.4978,-1,-0.7444,-0.5373,2.2268,3.4002,3.4589,0.016,1
0.7171,1.1637,1.0265,-0.7673,-0.809,-0.8876,0,0,0,0,5
0.582,0.5446,0.8299,-0.5703,-0.5882,-0.9865,3.1468,3.1751,2.1999,0.0145,3
0.5039,0.8181,0.6346,-0.668,-0.8811,-0.5764,3.1675,2.1001,3.2458,0.0128,2
0.5039,0.7985,0.5955,-0.7852,-0.8616,-0.5764,3.2112,2.12,3.3032,0.0141,2
0.7578,0.5837,0.5955,-1.0586,-0.6077,-0.5569,2.2608,3.4464,3.4905,0.0154,1
0.3867,0.6423,0.908,-0.668,-0.5686,-0.9084,3.0909,3.0927,1.8729,0.0114,3
0.5039,0.8767,0.5955,-0.668,-0.9007,-0.6545,3.2791,2.1553,3.3631,0.0155,2
0.5039,0.6032,0.8494,-0.7852,-0.4905,-0.9475,3.1293,3.1414,1.9288,0.0111,3
0.5625,0.447,0.615,-0.707,-0.4905,-0.9865,3.1612,3.1675,2.0444,0.0152,3
0.5039,0.9157,0.6346,-0.6094,-0.8811,-0.5569,3.2972,2.1666,3.3575,0.0138,2
0.8164,0.6228,0.4978,-0.9219,-0.5882,-0.6545,2.0742,3.2224,3.3089,0.0161,1
0.7383,0.6032,0.615,-0.8242,-0.5686,-0.7131,2.256,3.4802,3.5319,0.0161,1
0.3086,0.5056,0.4002,-0.6289,-0.5686,-0.5178,3.624,3.5926,3.6602,0.0186,0
0.4258,0.7204,0.6931,-0.7656,-0.8421,-0.8303,3.1925,2.0218,3.2516,0.0145,2
0.8555,0.3689,0.4588,-0.9024,-0.5491,-0.5569,1.8305,3.1674,3.2266,0.0144,1
0.6015,0.5642,0.8494,-0.7461,-0.5686,-0.967,3.1969,3.2108,2.0971,0.0141,3
0.4258,0.9548,0.576,-0.5703,-0.764,-0.6545,3.3281,2.1942,3.4285,0.0148,2
0.4453,0.5642,0.8494,-0.6485,-0.51,-0.8303,3.4644,3.486,2.279,0.0149,3
0.875,0.6618,0.4783,-1.0781,-0.6468,-0.635,2.0806,3.2444,3.3271,0.0134,1
0.4258,0.4665,0.5174,-0.5703,-0.51,-0.5178,3.5927,3.5759,3.6533,0.0183,0
0.543,0.9548,0.615,-0.707,-0.9007,-0.5764,3.1224,1.8884,3.1705,0.0119,2
0.4844,0.8962,0.5369,-0.7461,-0.9983,-0.5959,3.2539,2.253,3.3149,0.0159,2
0.5234,0.3298,0.8689,-0.5703,-0.5686,-0.8889,3.1678,3.1927,2.0748,0.0137,3
0.4453,0.9548,0.5174,-0.7461,-0.9788,-0.6936,3.2412,2.0748,3.3365,0.0123,2
0.5039,0.5251,0.8299,-0.5899,-0.6468,-0.9475,3.1988,3.2189,2.2189,0.0159,3
0.9726,0.447,0.2244,-1.0195,-0.6468,-0.5764,2.0925,3.2796,3.3438,0.0145,1
0.4648,0.7985,0.576,-0.7266,-0.8225,-0.635,3.302,2.1622,3.3727,0.0124,2
0.4648,0.6423,0.8299,-0.5703,-0.5882,-0.9475,3.1856,3.2135,2.0762,0.0132,3
0.5039,0.5642,1.0056,-0.5313,-0.6272,-1.1428,3.1087,3.1166,1.8234,0.0114,3
0.5039,0.9157,0.5174,-0.6289,-0.9788,-0.6545,3.29,2.152,3.3588,0.0133,2
1.0686,0.4996,1.1241,-0.865,-0.6723,-0.9657,0,0,0,0,6
0.4258,0.6423,0.8299,-0.9024,-0.5296,-0.967,3.0582,3.0692,1.8549,0.0117,3
0.3867,0.5251,0.8689,-0.668,-0.4319,-1.1819,3.0359,3.0487,1.8629,0.0118,3
0.5039,0.447,0.5174,-0.6094,-0.51,-0.5959,3.5478,3.561,3.6346,0.0183,0
0.5039,0.9157,0.4002,-0.6485,-0.9202,-0.5373,3.1296,1.8768,3.2049,0.0149,2
0.4453,0.8571,0.6346,-0.6875,-0.9007,-0.5178,3.2627,2.2505,3.3329,0.0152,2
0.875,0.4665,0.576,-1.0195,-0.7249,-0.6154,2.3001,3.3239,3.3728,0.0151,1
0.5039,0.486,0.908,-0.707,-0.5296,-0.9279,3.1112,3.127,2.0548,0.0138,3
0.3672,0.9157,0.5564,-0.668,-0.9007,-0.674,3.2451,2.067,3.3272,0.0118,2
0.4453,0.8962,0.5955,-0.8633,-0.8616,-0.5373,3.1348,1.7999,3.181,0.0144,2
0.875,0.6228,0.4197,-1.1563,-0.6858,-0.5178,1.8473,3.172,3.2282,0.0143,1
0.4258,0.5446,0.615,-0.7266,-0.5491,-0.4006,3.6162,3.6102,3.6553,0.0182,0
0.4844,0.8962,0.4588,-0.668,-0.9788,-0.7912,3.3232,2.1891,3.4058,0.0147,2
0.4648,0.5837,0.8494,-0.6094,-0.51,-0.9084,3.1,3.1117,1.8266,0.0143,3
0.875,0.6032,0.5955,-0.9805,-0.4905,-0.7326,2.0869,3.2657,3.3238,0.0138,1
0.4844,0.74,0.5564,-0.6875,-1.096,-0.7326,3.1033,1.8838,3.1755,0.0116,2
0.4453,0.5056,0.9275,-0.6289,-0.51,-0.9475,3.0679,3.0835,1.8048,0.0114,3
0.4648,0.5642,0.8689,-0.6289,-0.6468,-0.9865,3.1066,3.131,1.8204,0.0137,3
0.8945,0.5446,0.6931,-0.9024,-0.51,-0.5569,2.0822,3.2839,3.3113,0.0159,1
0.7578,0.5642,0.5955,-0.8633,-0.6272,-0.7131,2.3113,3.38,3.3962,0.0166,1
0.914,0.6618,0.4978,-1.0586,-0.6663,-0.5178,2.0958,3.3101,3.3227,0.0151,1
0.4844,0.9548,0.5369,-0.8633,-0.8616,-0.6936,3.1612,1.8194,3.2069,0.0128,2
0.5039,0.2712,0.5369,-0.5899,-0.5882,-0.4787,3.6409,3.6166,3.7072,0.0182,0
0.5039,0.8571,0.5369,-0.707,-0.9788,-0.7717,3.1031,1.8619,3.154,0.0121,2
0.4258,0.8376,0.5955,-0.6289,-0.9007,-0.6545,3.2747,2.2722,3.3544,0.0144,2
0.3476,0.6228,0.8103,-0.8242,-0.4905,-0.967,3.0768,3.0891,1.8786,0.0142,3
0.4258,0.8962,0.5369,-0.6875,-1.0569,-0.6545,3.1247,1.8163,3.2016,0.0121,2
0.3476,0.8962,0.4978,-0.7852,-0.9007,-0.7522,3.2822,2.1407,3.3541,0.0123,2
0.8359,0.5056,0.4783,-0.9414,-0.6663,-0.6545,2.3205,3.3533,3.4048,0.0166,1
0.8945,0.447,0.5564,-0.9805,-0.5882,-0.5569,1.9214,3.1853,3.2731,0.0157,1
0.4453,0.5056,0.5369,-0.5899,-0.5296,-0.5764,3.6052,3.6006,3.6562,0.0185,0
0.4844,0.74,0.615,-0.6875,-0.9593,-0.6545,3.2375,2.0476,3.2912,0.0119,2
0.9336,0.6814,0.5369,-1.0195,-0.5491,-0.674,1.9321,3.2421,3.2733,0.0138,1
0.7952,1.1637,1.1827,-0.7868,-0.6332,-0.9266,0,0,0,0,5
0.4258,0.779,0.6736,-0.7656,-0.8421,-0.8303,3.1925,2.0218,3.2516,0.0145,2
0.5039,0.6618,0.6346,-0.668,-0.8811,-0.5764,3.2052,1.9001,3.2153,0.0148,2
0.4844,0.4275,0.4978,-0.668,-0.4515,-0.5959,3.6215,3.615,3.6643,0.0191,0
0.543,0.4275,0.8689,-0.6875,-0.51,-1.0061,3.1071,3.1048,1.8166,0.0127,3
0.543,0.8571,0.5955,-0.6875,-1.1546,-0.5569,3.2254,2.0611,3.277,0.0149,2
0.4844,0.8962,0.6346,-0.7266,-0.9397,-0.674,3.1558,1.8237,3.2336,0.0117,2
0.4258,0.6032,0.5174,-0.6289,-0.471,-0.5764,3.4961,3.5166,3.5377,0.0182,0
0.4062,0.5251,0.8299,-0.6875,-0.4905,-0.8889,3.4526,3.4768,2.2624,0.0124,3
0.3086,0.5251,0.4002,-0.668,-0.51,-0.4592,3.6308,3.6378,3.6987,0.0189,0
0.4062,0.5251,0.9471,-0.6289,-0.6272,-0.9279,3.1595,3.1609,2.0671,0.0145,3
0.4648,0.4275,0.8689,-0.9219,-0.6077,-0.8889,3.4844,3.4817,2.2599,0.0123,3
0.8164,0.6618,0.5564,-1.0977,-0.5882,-0.5373,1.915,3.2029,3.2722,0.0151,1
0.5039,0.5446,0.8299,-0.6485,-0.5491,-0.8108,3.1849,3.2423,2.2426,0.0129,3
0.3086,0.8962,0.4783,-0.7266,-0.8811,-0.674,3.2031,2.0538,3.3181,0.0148,2
0.3672,0.5056,0.5369,-0.5508,-0.51,-0.5373,3.5981,3.618,3.6401,0.0183,0
0.4844,0.4665,0.5369,-0.707,-0.6077,-0.4787,3.6409,3.6417,3.6495,0.0182,0
0.7366,0.8902,1.007,-0.7868,-0.7895,-0.8095,0,0,0,0,5
0.5039,0.6032,0.8689,-0.668,-0.6858,-0.8303,3.1742,3.2064,2.2049,0.0149,3
0.9922,0.6032,0.5955,-1.0391,-0.6468,-0.7131,1.9207,3.2148,3.2746,0.0145,1
0.8555,0.6423,0.576,-0.961,-0.6272,-0.5569,2.2634,3.4822,3.5383,0.0163,1
1.2054,0.8121,1.1241,-0.6306,-0.5746,-0.7899,0,0,0,0,6
0.4648,0.5446,0.8494,-0.6485,-0.5296,-0.9084,3.1429,3.1679,2.0586,0.014,3
0.4453,0.6618,0.9471,-0.7266,-0.6663,-1.0647,3.1656,3.1755,2.065,0.012,3
0.3086,0.8181,0.7127,-0.6094,-1.0179,-0.5373,3.1134,1.7907,3.1788,0.0125,2
0.4453,0.3493,0.3806,-0.4922,-0.4515,-0.5373,3.609,3.6033,3.6407,0.0183,0
0.8733,1.1051,1.2413,-0.7087,-0.7113,-0.9266,0,0,0,0,5
0.9336,0.6032,0.5369,-1.0781,-0.5686,-0.5569,2.0757,3.2625,3.3175,0.0137,1
0.6406,0.6032,0.5564,-1.0781,-0.6663,-0.8498,2.3107,3.3451,3.4238,0.0164,1
0.5625,0.6423,0.7713,-0.668,-0.5296,-0.9084,3.1523,3.1683,2.072,0.0126,3
0.4258,0.6423,0.908,-0.5899,-0.5882,-0.8889,3.0985,3.0947,2.0374,0.0119,3
0.3476,0.8767,0.5369,-0.6289,-0.8421,-0.5569,3.2291,2.1136,3.293,0.0135,2
0.3867,0.5837,0.7908,-0.8633,-0.4319,-1.1037,3.1268,3.1272,1.9179,0.0142,3
0.543,0.7985,0.5174,-0.707,-1.0569,-0.6936,3.1264,1.8828,3.1528,0.0114,2
0.4844,0.5642,0.5174,-0.6485,-0.6272,-0.5764,3.6461,3.664,3.7545,0.0182,0
0.9336,0.6032,0.4197,-1.0195,-0.4905,-0.6936,1.8263,3.1826,3.2486,0.0129,1
0.4062,0.447,0.3025,-0.6289,-0.764,-0.4983,3.6379,3.6498,3.6931,0.0181,0
0.5039,0.779,0.5174,-0.6094,-0.9397,-0.5959,3.1634,1.8939,3.1908,0.0144,2
0.4258,0.5446,0.3416,-0.668,-0.471,-0.5569,3.6188,3.6004,3.6568,0.0186,0
0.5234,0.9743,0.2244,-0.6875,-0.9202,-0.7131,3.1236,1.8867,3.1965,0.0126,2
0.4844,0.5837,0.9275,-0.7656,-0.471,-1.0061,3.0778,3.0925,1.8164,0.0113,3
0.3672,0.8376,0.6931,-0.6094,-0.9202,-0.5569,3.2888,2.1623,3.3705,0.015,2
0.3867,0.486,0.5564,-0.7266,-0.5491,-0.4983,3.6192,3.6372,3.6749,0.019,0
0.9726,0.447,0.4588,-0.9219,-0.51,-0.7326,2.0816,3.2357,3.2649,0.0145,1
0.9336,0.6228,0.5955,-0.9024,-0.51,-0.674,1.9339,3.2454,3.284,0.0125,1
0.7773,0.7009,0.5564,-1.0391,-0.5686,-0.5959,1.9364,3.2387,3.2582,0.0142,1
0.4648,0.5251,0.4588,-0.6289,-0.4515,-0.6154,3.6422,3.6296,3.6862,0.0183,0
0.5039,0.5446,0.908,-0.5899,-0.4515,-0.8694,3.1957,3.1964,2.0526,0.0119,3
0.3672,1.0329,0.615,-0.6875,-0.8616,-0.5959,3.1329,1.8949,3.1855,0.012,2
0.4844,0.8181,0.4978,-0.668,-1.0179,-0.7131,3.3736,2.1993,3.4078,0.0133,2
1.2054,0.8902,1.2218,-0.7087,-0.9066,-0.8485,0,0,0,0,6
0.4453,0.9157,0.6346,-0.6289,-0.8421,-0.4983,3.2417,2.0489,3.3065,0.0145,2
1.0296,1.066,0.753,-0.5329,-0.6527,-0.868,0,0,0,0,4
0.5234,0.5056,1.0252,-0.5899,-0.4124,-0.9279,3.1529,3.1623,2.0714,0.0119,3
0.3672,0.8767,0.4978,-0.5703,-0.9202,-0.6154,3.3231,2.2818,3.3727,0.0139,2
0.914,0.486,0.576,-1.0195,-0.6858,-0.635,2.3078,3.3292,3.3879,0.0142,1
0.9726,0.5056,0.5955,-0.9024,-0.5882,-0.674,1.9354,3.2433,3.2711,0.0124,1
0.914,0.5837,0.4588,-1.0586,-0.4515,-0.6154,2.2343,3.4341,3.4983,0.014,1
0.4844,0.8571,0.6346,-0.6289,-0.8811,-0.6154,3.2177,2.0793,3.2885,0.0122,2
0.8945,0.4275,0.4978,-0.9414,-0.5882,-0.4592,2.0973,3.3251,3.3557,0.0128,1
0.4648,0.6032,0.9471,-0.9414,-0.4515,-1.0647,3.083,3.1051,1.8199,0.0118,3
0.3867,0.6032,0.4588,-0.5703,-0.5491,-0.5959,3.6469,3.6611,3.6451,0.0183,0
0.5039,0.6032,1.0056,-0.5899,-0.7444,-1.0256,3.0622,3.0754,1.8054,0.0131,3
0.4453,0.8962,0.3806,-0.7656,-0.8811,-0.635,3.3203,2.1819,3.38,0.0152,2
0.914,0.6228,0.3416,-1.0977,-0.6663,-0.635,1.8382,3.1772,3.2063,0.0127,1
0.8945,0.4079,0.4392,-0.8047,-0.4515,-0.5959,2.2447,3.4683,3.4949,0.0149,1
0.8359,0.6032,0.576,-0.961,-0.7054,-0.4983,2.0855,3.2424,3.3439,0.0141,1
0.5234,0.6228,0.8885,-0.8047,-0.5686,-0.9865,3.1202,3.1178,2.0492,0.0134,3
0.9726,0.6423,0.4002,-1.0586,-0.7249,-0.7131,1.9237,3.2177,3.28,0.0156,1
0.4062,0.8962,0.5369,-0.7266,-0.9202,-0.674,3.1808,2.0516,3.2256,0.0121,2
0.8945,0.6618,0.5369,-0.961,-0.7054,-0.6936,1.9236,3.2243,3.2693,0.013,1
0.7773,0.6814,0.5369,-1.0195,-0.5491,-0.635,2.2853,3.3021,3.2878,0.0141,1
0.4062,0.6032,0.4978,-0.6094,-0.5296,-0.5764,3.6103,3.611,3.6643,0.0181,0
0.5625,0.486,0.8494,-0.6289,-0.5296,-0.967,3.165,3.2005,2.2288,0.0149,3
0.7383,0.5056,0.5174,-1.0195,-0.51,-0.6545,2.3023,3.3445,3.3879,0.017,1
0.4453,0.6423,0.8494,-0.5508,-0.51,-1.0256,3.0695,3.084,2.0478,0.0123,3
0.582,0.5446,0.9275,-0.7461,-0.5491,-0.967,3.0406,3.0546,1.7777,0.0121,3
0.5234,0.5056,0.3611,-0.5117,-0.5491,-0.7522,1.7785,3.5483,3.6001,0.0201,0
0.4844,0.7595,0.5369,-0.6289,-0.9202,-0.6154,3.2395,2.0515,3.2891,0.0118,2
0.543,0.5642,1.0642,-0.6875,-0.5296,-0.967,3.0618,3.0463,1.7747,0.0148,3
0.543,0.8962,0.5174,-0.7266,-0.8225,-0.7326,3.2837,2.2893,3.3683,0.0153,2
0.8555,0.447,0.576,-1.0391,-0.5686,-0.635,2.2278,3.4029,3.4675,0.014,1
0.8147,1.0465,1.2804,-0.7868,-0.6527,-0.9266,0,0,0,0,5
0.9726,0.5251,0.576,-1.0195,-0.6077,-0.8108,1.837,3.2085,3.2213,0.0151,1
0.4844,0.4665,0.9666,-0.6485,-0.5296,-1.0061,3.0081,3.0202,1.8602,0.0137,3
0.4844,0.4275,0.9861,-0.668,-0.7249,-0.9475,3.1011,3.0899,1.8786,0.012,3
0.4648,0.6032,0.4392,-0.5508,-0.764,-0.4983,3.651,3.6484,3.6685,0.0184,0
