num,data1,data2,data3,data4,data5,data6,data7,data8,data9,data10,nothing1,nothing2,nothing3,nothing4,nothing5,nothing6,nothing7,nothing8,nothing9,nothing10,nothing11,nothing12,nothing13,nothing14,nothing15,nothing16,nothing17,state,target
10504,0.4258,0.6423,0.4783,-0.5703,-0.51,-0.4592,3.5889,3.5989,3.6511,0.0188,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
11088,0.4844,0.5251,0.5369,-0.6289,-0.4515,-0.5178,3.5799,3.5919,3.6093,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
11671,0.4258,0.5642,0.5955,-0.7266,-0.6468,-0.4397,3.5977,3.5982,3.6433,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
12255,0.543,0.5251,0.4002,-0.5313,-0.4319,-0.5178,3.597,3.5939,3.6673,0.0185,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
12838,0.4062,0.5251,0.576,-0.6289,-0.51,-0.5178,3.5948,3.6089,3.6378,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
13422,0.4648,0.4665,0.5369,-0.5117,-0.51,-0.4983,3.5972,3.5992,3.6664,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
14005,0.5625,0.447,0.5564,-0.6485,-0.4515,-0.5373,3.6083,3.5992,3.6517,0.0185,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
14006,0.5625,0.5837,0.5564,-0.5508,-0.5491,-0.5373,3.6027,3.6001,3.6264,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
14589,0.3476,0.5837,0.5564,-0.5508,-0.5491,-0.5373,3.6027,3.6001,3.6264,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
15172,0.4648,0.486,0.4588,-0.5703,-0.5882,-0.4787,3.5899,3.5971,3.6528,0.0182,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
15173,0.4648,0.486,0.5369,-0.668,-0.4515,-0.5569,3.5772,3.5941,3.6538,0.0184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
15756,0.5039,0.6032,0.5369,-0.668,-0.4515,-0.5569,3.5772,3.5941,3.6538,0.0184,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
16339,0.4648,0.4079,0.4978,-0.6289,-0.5296,-0.5569,3.5801,3.5917,3.6917,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
16340,0.4648,0.4079,0.4978,-0.6094,-0.5882,-0.5373,3.5913,3.6099,3.6535,0.0183,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0,1
